element_tran,node1,node2
O=C(O)C=C[*:2] --->>>--- O=C(O)C=CC=C[*:2],O=C(O)C=C[*:2],O=C(O)C=CC=C[*:2]
O=C(O)C=C[*:3] --->>>--- O=C(O)C=CC=C[*:3],O=C(O)C=C[*:3],O=C(O)C=CC=C[*:3]
O=C(O)[*:1] --->>>--- O=C(O)C=CC=C[*:1],O=C(O)[*:1],O=C(O)C=CC=C[*:1]
O=C(O)[*:2] --->>>--- O=C(O)C=CC=C[*:2],O=C(O)[*:2],O=C(O)C=CC=C[*:2]
O=C(O)[*:3] --->>>--- O=C(O)C=CC=C[*:3],O=C(O)[*:3],O=C(O)C=CC=C[*:3]
O=C(O)[*:1] --->>>--- O=C(O)C=C[*:1],O=C(O)[*:1],O=C(O)C=C[*:1]
O=C(O)[*:2] --->>>--- O=C(O)C=C[*:2],O=C(O)[*:2],O=C(O)C=C[*:2]
O=C(O)[*:3] --->>>--- O=C(O)C=C[*:3],O=C(O)[*:3],O=C(O)C=C[*:3]
O=C(N(c1ccccc1)[*:1])[*:1] --->>>--- CN1C(=C[*:1])C(C)([*:1])c2ccccc21,O=C(N(c1ccccc1)[*:1])[*:1],CN1C(=C[*:1])C(C)([*:1])c2ccccc21
O=C(N(c1ccccc1)[*:2])[*:2] --->>>--- CN1C(=C[*:2])C(C)([*:2])c2ccccc21,O=C(N(c1ccccc1)[*:2])[*:2],CN1C(=C[*:2])C(C)([*:2])c2ccccc21
O=C(N(c1ccccc1)[*:3])[*:3] --->>>--- CN1C(=C[*:3])C(C)([*:3])c2ccccc21,O=C(N(c1ccccc1)[*:3])[*:3],CN1C(=C[*:3])C(C)([*:3])c2ccccc21
O=C(N(c1ccccc1)[*:1])[*:1] --->>>--- CC1(C)C(=C[*:1])N([*:1])c2ccccc21,O=C(N(c1ccccc1)[*:1])[*:1],CC1(C)C(=C[*:1])N([*:1])c2ccccc21
O=C(N(c1ccccc1)[*:2])[*:2] --->>>--- CC1(C)C(=C[*:2])N([*:2])c2ccccc21,O=C(N(c1ccccc1)[*:2])[*:2],CC1(C)C(=C[*:2])N([*:2])c2ccccc21
O=C(N(c1ccccc1)[*:3])[*:3] --->>>--- CC1(C)C(=C[*:3])N([*:3])c2ccccc21,O=C(N(c1ccccc1)[*:3])[*:3],CC1(C)C(=C[*:3])N([*:3])c2ccccc21
O=C(N(c1ccccc1)[*:1])[*:1] --->>>--- C1=Cc2ccccc2N([*:1])C1=C[*:1],O=C(N(c1ccccc1)[*:1])[*:1],C1=Cc2ccccc2N([*:1])C1=C[*:1]
O=C(N(c1ccccc1)[*:2])[*:2] --->>>--- C1=Cc2ccccc2N([*:2])C1=C[*:2],O=C(N(c1ccccc1)[*:2])[*:2],C1=Cc2ccccc2N([*:2])C1=C[*:2]
