smiles,predicted_prob,predicted_label,SA_Score
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cccc(C=Cc4c[nH]c5ccccc45)c3C2(C)C)C(C)(C)c2ccccc21,0.8333991000686061,1,3.39
CC[N+]1=C(/C=C/C=C/C=C2\N(C(C)C=Cc3ccc(N4c5ccccc5CCc5ccccc54)cc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8328601901689675,1,4.03
CC[N+]1=C(C=CC=CC=C2N(CN3C(=CC=CC=CC4=[N+](CC)c5ccccc5C4(C)C)C(C)(C)c4ccccc43)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8324731523263992,1,3.91
CC[N+]1=C(/C=C/C=C/C=C2\N(C(C)C=C3N(C)c4ccccc4C3(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8320280678443916,1,4.02
CC[N+]1=C(/C=C/C=C/C=C2\N(CCO)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8318886237954929,1,3.09
CCN1C(=CC=CCCN2/C(=C\C=C\C=C\C3=[N+](CC)c4ccccc4C3(C)C)C(C)(C)c3ccccc32)Sc2ccccc21,0.8315946989588414,1,3.54
CC[N+]1=C(C=CC=CC=C2N(CC=CC=CC3=[N+](CC)c4ccccc4C3(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8315770849650228,1,3.74
C#Cc1ccc(CC2(C)C(/C=C/C=C/C=C3\N(CC)c4ccccc4C3(C)C)=[N+](CC)c3ccccc32)cc1,0.8292860842409763,1,3.72
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccc(c4ccc(-c5ccc(N(C)C)cc5)s4)cc3C2(C)C)C(C)(C)c2ccccc21,0.8261880682033689,1,3.33
C#Cc1ccc(c2cccc3c2C(C)(C)/C(=C/C=C/C=C/C2=[N+](CC)c4ccccc4C2(C)C)N3CC)cc1,0.8242422644977283,1,3.33
CCN1/C(=C\C=C\C=C\C2=[N+](CCC=C3N(C)c4ccccc4C3(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8233158903958907,1,3.50
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3cccc(c4ccc(OC)cc4)c3C2(C)C)C(C)(C)c2ccccc21,0.8231688932383961,1,3.12
CC[N+]1=C(C=CC=CC=C2N(CC3=[N+](CC)c4ccccc4C3(C)C)c3ccccc3C2(C)C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8226208134853066,1,4.62
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)Cc2ccc(OC)cc2)C(C)(C)c2ccccc21,0.8220648830865549,1,3.53
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2c1cccc2C=Cc1ccc(OC)cc1OC,0.8205772987127593,1,3.36
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccc(O)cc3C2(C)C)C(C)(C)c2ccccc21,0.820228737853357,1,3.15
CC[N+]1=C(/C=C/C=C/C=C2\N(CCC=CCl)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8191489711122955,1,3.34
CC[N+]1=C(C=CC=CC=C2N(CC3=[N+](CC)c4ccccc4C3(C)C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,0.8191287725652423,1,3.62
